"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"100457-1229","100457-1","н4","Новокосино - Метро «Китай-город»","","3","","","","","",""
"100457-202","100457-1","279","2-й микрорайон Жулебина - Метро «Нижегородская»","","3","","","","","",""
"100457-585","100457-1","149","Коровино - МЦД Дегунино","","3","","","","","",""
"100457-392","100457-1","1002","Киевский - Метро «Саларьево»","","3","","","","","",""
"100457-214","100457-1","111","Улица Новаторов - Метро «Октябрьская»","","3","","","","","",""
"100457-104","100457-1","135","Метро «Парк Победы» - Ул. Акад. Павлова","","3","","","","","",""
"100457-328","100457-1","196","Тропарёво - Метро «Октябрьская»","","3","","","","","",""
"100457-416","100457-1","32","МЦД Мещерская - Метро «Рассказовка»","","3","","","","","",""
"100457-624","100457-1","40","Дворец спорта «Сокольники» - Дворец спорта «Сокольники»","","3","","","","","",""
"100457-853","100457-1","69","Парк «Фили» - Метро «Краснопресненская»","","3","","","","","",""
"100457-172","100457-1","736","МЦД Курьяново - МЦД Курьяново","","3","","","","","",""
"100457-532","100457-1","750","МЦД Солнечная - Пос. Толстопальцево","","3","","","","","",""
"100457-583","100457-1","881","Метро «Рассказовка» - Метро «Рассказовка»","","3","","","","","",""
"100457-1706","100457-1","928","МЦД Грачёвская - Станция Лосиноостровская","","3","","","","","",""
"100457-1693","100457-1","м7","Метро «Стахановская» - Парк «Фили»","","3","","","","","",""
"100457-697","100457-1","11","Кастанаевская улица - МЦД Очаково","","3","","","","","",""
"100457-105","100457-1","130","Парк «Фили» - 23-й квартал Новых Черёмушек","","3","","","","","",""
"100457-345","100457-1","816","Метро «Калужская» - Кардиоцентр","","3","","","","","",""
"100457-678","100457-1","260","Матвеевское - Метро «Университет»","","3","","","","","",""
"100457-1212","100457-1","н5","Каширское шоссе (Мкад) - Метро «Китай-город»","","3","","","","","",""
"100457-373","100457-1","272","Метро «Саларьево» - Насосная улица","","3","","","","","",""
"100457-604","100457-1","513","Сосенское - Жедочи","","3","","","","","",""
"100457-608","100457-1","515","Сосенское - Посёлок Армейский","","3","","","","","",""
"100457-1692","100457-1","157к","Беловежская улица - Метро «Славянский бульвар»","","3","","","","","",""
"100457-171","100457-1","732","Крылатское - Метро «Славянский бульвар»","","3","","","","","",""
"100457-711","100457-1","220","Стадион «Лужники» - Стадион «Лужники»","","3","","","","","",""
"100457-177","100457-1","757","Метро «Молодёжная» - Метро «Молодёжная»","","3","","","","","",""
"100457-833","100457-1","н1","Аэропорт Шереметьево - Терминал B - Метро «Китай-город»","","3","","","","","",""
"100457-530","100457-1","804","Метро «Тёплый Стан» - Индустриальный парк «Индиго»","","3","","","","","",""
"100457-1697","100457-1","893","Метро «Лухмановская» - Метро «Лухмановская»","","3","","","","","",""
"100457-610","100457-1","3","Камчатская улица - Метро «Бульвар Рокоссовского»","","3","","","","","",""
"100457-116","100457-1","48","1-й Силикатный проезд - 1-й Силикатный проезд","","3","","","","","",""
"100457-103","100457-1","127","Мякинино парк - Кастанаевская улица","","3","","","","","",""
"100457-537","100457-1","767","11-й микрорайон Солнцева - Метро «Тёплый Стан»","","3","","","","","",""
"100457-788","100457-1","813","Коктебельская улица - Коктебельская улица","","3","","","","","",""
"100457-110","100457-1","930","4-й микрорайон Митина - МЦД Павшино","","3","","","","","",""
"100457-1704","100457-1","950","МЦД Солнечная - МЦД Кокошкино","","3","","","","","",""
"100457-311","100457-1","39","Метро «Университет» - Метро «Чистые пруды»","","0","","","","","",""
"100457-176","100457-1","865","Метро «Планерная» - Перепечинское кладбище","","3","","","","","",""
"100457-758","100457-1","157","Беловежская улица - Киевский вокзал","","3","","","","","",""
"100457-1209","100457-1","231","Беловежская улица - Метро «Филёвский парк»","","3","","","","","",""
"100457-412","100457-1","176","Платформа Лось - Проезд Русанова","","3","","","","","",""
"100457-534","100457-1","703","МЦД Вешняки - Перервинская плотина","","3","","","","","",""
"100457-866","100457-1","807","Метро «Озёрная» - МЦД Очаково","","3","","","","","",""
"100457-247","100457-1","1","Метро «Ломоносовский проспект» - Балаклавский просп","","3","","","","","",""
"100457-481","100457-1","93","Вднх (главный вход) - Медведково Арена","","3","","","","","",""
"100457-309","100457-1","706","Метро «Выхино» - 2-й Московский крематорий","","3","","","","","",""
"100457-314","100457-1","723","2-й Московский крематорий - Некрасовка","","3","","","","","",""
"100457-153","100457-1","74","Саратовская улица - Саратовская улица","","3","","","","","",""
"100457-1215","100457-1","З-27","Западная - МЦД Фирсановская","","3","","","","","",""
"100457-1096","100457-1","735","Осташковская улица - Метро «Щёлковская»","","3","","","","","",""
"100457-1751","100457-1","533","Вднх (главный вход) - Вднх (главный вход)","","3","","","","","",""
"100457-1782","100457-1","т78","Северный - 4-й микрорайон - Белорусский вокзал","","3","","","","","",""
"100457-761","100457-1","230","Сиреневый бульвар - Метро «Преображенская площадь»","","3","","","","","",""
"100457-145","100457-1","129","Деревня Мякинино - Автобаза Министерства обороны","","3","","","","","",""
"100457-356","100457-1","134","Юрловский проезд - Юрловский проезд","","3","","","","","",""
"100457-365","100457-1","183","Платформа Лось - Институт пути","","3","","","","","",""
"100457-840","100457-1","622","Метро «Озёрная» - Киевский вокзал","","3","","","","","",""
"100457-838","100457-1","612","Кастанаевская улица - Кастанаевская улица","","3","","","","","",""
"100457-630","100457-1","639","Метро «Беляево» - Метро «Ясенево»","","3","","","","","",""
"100457-792","100457-1","828","Метро «Красногвардейская» - Метро «Домодедовская»","","3","","","","","",""
"100457-312","100457-1","722","Метро «Выхино» - Метро «Некрасовка»","","3","","","","","",""
"100457-728","100457-1","776","Южное Измайлово - МЦД Новогиреево","","3","","","","","",""
"100457-941","100457-1","778","Рижский вокзал - Спартаковская площадь","","3","","","","","",""
"100457-321","100457-1","808","9-й микрорайон Кожухова - Метро «Лухмановская» (западный вход)","","3","","","","","",""
"100457-639","100457-1","878","Метро «Тёплый Стан» - МЦД Кокошкино","","3","","","","","",""
"100457-516","100457-1","734","Метро «Саларьево» - МЦД Солнечная","","3","","","","","",""
"100457-245","100457-1","726","4-й микрорайон Кожухова - 4-й микрорайон Кожухова","","3","","","","","",""
"100457-182","100457-1","655к","Капотня - Капотня","","3","","","","","",""
"100457-231","100457-1","197","Метро «Выхино» - Метро «Выхино»","","3","","","","","",""
"100457-236","100457-1","Вк","Ветеринарная академия - Ветеринарная академия","","3","","","","","",""
"100457-702","100457-1","18","Коктебельская улица - Бутовский полигон","","3","","","","","",""
"100457-157","100457-1","251","Метро «Молодёжная» - Автобаза Министерства обороны","","3","","","","","",""
"100457-296","100457-1","285","МЦД Новогиреево - Метро «Выхино»","","3","","","","","",""
"100457-794","100457-1","831","МЦК ЗИЛ - МЦК Зил","","3","","","","","",""
"100457-690","100457-1","Д","Домодедовское кладб. - 94-й участок","","3","","","","","",""
"100457-138","100457-1","54","Капотня - Капотня","","3","","","","","",""
"100457-1736","100457-1","782","Таллинская улица - 2-я Лыковская ул","","3","","","","","",""
"100457-260","100457-1","773","9-й микрорайон Кожухова - МЦД Реутов","","3","","","","","",""
"100457-187","100457-1","798","Метро «Щукинская» - Кардиоцентр","","3","","","","","",""
"100457-672","100457-1","766","Метро «Стахановская» - Улица Тюфелева Роща","","3","","","","","",""
"100457-1213","100457-1","Мц1","Метро «Лесопарковая» - Миграционный центр","","3","","","","","",""
"100457-845","100457-1","62","Братцево - Братцево","","3","","","","","",""
"100457-111","100457-1","207","Дворец спорта «Мегаспорт» - Дворец спорта «Мегаспорт»","","3","","","","","",""
"100457-375","100457-1","17","Медведково - Останкино","","0","","","","","",""
"100457-1075","100457-1","251к","Метро «Молодёжная» - Метро «Молодёжная»","","3","","","","","",""
"100457-1306","100457-1","273","Метро «Каховская» - Метро «Каховская»","","3","","","","","",""
"100457-212","100457-1","731","138-й квартал Выхина - 138-й квартал Выхина","","3","","","","","",""
"100457-862","100457-1","77","Матвеевское - Матвеевское","","3","","","","","",""
"100457-355","100457-1","57","Метро «Ломоносовский проспект» - Метро «Профсоюзная»","","3","","","","","",""
"100457-303","100457-1","121","23-й кв. Новых Черемушек - Даниловский рынок","","3","","","","","",""
"100457-750","100457-1","208","МЦД Новогиреево - МЦД Новогиреево","","3","","","","","",""
"100457-219","100457-1","762","МЦД Курьяново - МЦД Курьяново","","3","","","","","",""
"100457-1080","100457-1","с1","Остафьевская улица - Остафьевская улица","","3","","","","","",""
"100457-1093","100457-1","с4","Ул. Головачева - Ул. Головачева","","3","","","","","",""
"100457-963","100457-1","З-29","МЦД Зеленоград-Крюково - МЦД Зеленоград-Крюково","","3","","","","","",""
"100457-1077","100457-1","с5","Нагорный бульвар - Черемушкинский рынок","","3","","","","","",""
"100457-976","100457-1","З-31","МЦД Зеленоград-Крюково - Городская больница","","3","","","","","",""
"100457-384","100457-1","47","Нагатино - Метро «Октябрьская»","","0","","","","","",""
"100457-951","100457-1","З-8","41-й километр - 41-й километр","","3","","","","","",""
"100457-787","100457-1","З-11","Северная - Северная","","3","","","","","",""
"100457-800","100457-1","З-12","МЦД Зеленоград-Крюково - Мжк","","3","","","","","",""
"100457-988","100457-1","З-4","МЦД Зеленоград-Крюково - МЦД Зеленоград-Крюково","","3","","","","","",""
"100457-594","100457-1","З-9","41-й километр - 41-й километр","","3","","","","","",""
"100457-889","100457-1","76","Вднх (главный вход) - Метро «Владыкино»","","3","","","","","",""
"100457-223","100457-1","805","Метро «Стахановская» - Метро «Стахановская»","","3","","","","","",""
"100457-1509","100457-1","1133","Посёлок Восточный - Посёлок Акулово","","3","","","","","",""
"100457-254","100457-1","1","Чертаново Южное - Москворецкий рынок","","0","","","","","",""
"100457-751","100457-1","82","МЦД Дегунино - МЦД Дегунино","","3","","","","","",""
"100457-1270","100457-1","с6","Юрловский проезд - Каргопольская улица","","3","","","","","",""
"100457-586","100457-1","146","2-й микрорайон Южного Бутова - 2-й микрорайон Южного Бутова","","3","","","","","",""
"100457-793","100457-1","205","Метро «Аминьевская» - Метро «Кунцевская»","","3","","","","","",""
"100457-607","100457-1","107","Метро «Филёвский парк» - Метро «Филёвский парк»","","3","","","","","",""
"100457-1103","100457-1","234","Саратовская улица - Саратовская улица","","3","","","","","",""
"100457-288","100457-1","743","Таллинская улица - Мякинино","","3","","","","","",""
"100457-1713","100457-1","т55","Сиреневый бульвар - Метро «Первомайская»","","3","","","","","",""
"100457-338","100457-1","43","МЦК Угрешская - Метро «Сокольники»","","0","","","","","",""
"100457-393","100457-1","А","МЦД Калитники - Метро «Чистые пруды»","","0","","","","","",""
"100457-304","100457-1","620","Метро «Выхино» - Улица Молостовых","","3","","","","","",""
"100457-350","100457-1","889","Улица Ленина - Насосная улица","","3","","","","","",""
"100457-822","100457-1","645","МЦД Новогиреево - Метро «Щёлковская»","","3","","","","","",""
"100457-377","100457-1","603","Юрловский проезд - Платф. Яуза","","3","","","","","",""
"100457-660","100457-1","662","Ивановское - Ивановское","","3","","","","","",""
"100457-267","100457-1","199","13-й микрорайон Тушина - 13-й микрорайон Тушина","","3","","","","","",""
"100457-858","100457-1","142","Метро «Нагорная» - Метро «Нагорная»","","3","","","","","",""
"100457-835","100457-1","н2","Беловежская улица - Метро «Китай-город»","","3","","","","","",""
"100457-291","100457-1","12","Восточное Измайлово - МЦК Дубровка","","0","","","","","",""
"100457-824","100457-1","659","Ивановское - Метро «Шоссе Энтузиастов»","","3","","","","","",""
"100457-1035","100457-1","З-24","МЦД Зеленоград-Крюково - Алабушевское кладбище","","3","","","","","",""
"100457-363","100457-1","661","Улица Новаторов - Метро «Университет»","","3","","","","","",""
"100457-1744","100457-1","982","Метро «Тёплый Стан» - Испанские Кварталы","","3","","","","","",""
"100457-828","100457-1","68","Камчатская улица - Сиреневый бульвар","","3","","","","","",""
"100457-308","100457-1","153","Метро «Новые Черёмушки» - Метро «Новые Черёмушки»","","3","","","","","",""
"100457-106","100457-1","175","5-й троллейбусный парк - 5-й троллейбусный парк","","3","","","","","",""
"100457-299","100457-1","699","1-й автобусный парк - МЦД Очаково","","3","","","","","",""
"100457-107","100457-1","27","1-й Силикатный проезд - 1-й Силикатный проезд","","3","","","","","",""
"100457-173","100457-1","733","Крылатское - Крылатское","","3","","","","","",""
"100457-698","100457-1","698","Метро «Водный стадион» - Сенежская ул","","3","","","","","",""
"100457-1756","100457-1","570","Метро «Войковская» - Метро «Войковская»","","3","","","","","",""
"100457-113","100457-1","847","Метро «Беговая» - Метро «Беговая»","","3","","","","","",""
"100457-1239","100457-1","420","Метро «Саларьево» - Посёлок Марьино","","3","","","","","",""
"100457-194","100457-1","669","2-й микрорайон Жулебина - 2-й микрорайон Жулебина","","3","","","","","",""
"100457-188","100457-1","657","Метро «Марьино» - Ставропольский проезд","","3","","","","","",""
"100457-137","100457-1","21","3-й микрорайон Новокосина - 3-й микрорайон Новокосина","","3","","","","","",""
"100457-803","100457-1","858","Метро «Орехово» - 6-й микрорайон Орехово-Борисова","","3","","","","","",""
"100457-191","100457-1","177","2-й микрорайон Жулебина - Метро «Выхино»","","3","","","","","",""
"100457-270","100457-1","210","4-й микрорайон Митина - Метро «Тушинская»","","3","","","","","",""
"100457-634","100457-1","647","5-й микрорайон Тёплого Стана - Проезд Одоевского","","3","","","","","",""
"100457-689","100457-1","656","Бусиново - Метро «Селигерская»","","3","","","","","",""
"100457-947","100457-1","З-21","МЦД Зеленоград-Крюково - МЦД Малино","","3","","","","","",""
"100457-729","100457-1","131","МЦД Перово - Метро «Партизанская»","","3","","","","","",""
"100457-421","100457-1","166","Метро «Рассказовка» - Солнцево-Парк","","3","","","","","",""
"100457-642","100457-1","215к","МЦД Грачёвская - Метро «Селигерская»","","3","","","","","",""
"100457-199","100457-1","242","Ул. Головачева - Ул. Головачева","","3","","","","","",""
"100457-752","100457-1","211","Улица Молостовых - Метро «Партизанская»","","3","","","","","",""
"100457-1330","100457-1","892","Метро «Саларьево» - Солнцево-Парк","","3","","","","","",""
"100457-617","100457-1","577","Метро «Тёплый Стан» - Бархатная Роща","","3","","","","","",""
"100457-163","100457-1","626","Метро «Молодёжная» - Метро «Строгино» (восточный вход)","","3","","","","","",""
"100457-813","100457-1","803","Метро «Вднх» - Метро «Вднх»","","3","","","","","",""
"100457-810","100457-1","94","Остафьевская улица - МЦД Бутово","","3","","","","","",""
"100457-1753","100457-1","349","Осташковская улица - Осташковская улица","","3","","","","","",""
