"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100457-1009734","","Метро «Черкизовская»","","55.802164","37.745018","","","0","","","0","",""
"100457-1009735","","Метро «Черкизовская»","","55.802178","37.745228","","","0","","","0","",""
"100457-1009740","","Поворот на Новокурьяново","","55.514633","37.539699","","","0","","","0","",""
"100457-1009739","","Поворот на Новокурьяново","","55.514577","37.539411","","","0","","","0","",""
"100457-1009741","","Староникольское","","55.511759","37.546735","","","0","","","0","",""
"100457-1009952","","Моспроектовец","","55.313575","37.226409","","","0","","","0","",""
"100457-1009742","","Староникольское","","55.510962","37.548697","","","0","","","0","",""
"100457-1009766","","Река Алёшинка","","55.651705","37.344989","","","0","","","0","",""
"100457-1009955","","Марьино Град","","55.553989","37.344352","","","0","","","0","",""
"100457-1009763","","6-й микрорайон","","55.638388","37.537114","","","0","","","0","",""
"100457-1009956","","Бульвар Веласкеса","","55.592457","37.453858","","","0","","","0","",""
"100457-1009803","","Улица Егора Абакумова","","55.877013","37.719592","","","0","","","0","",""
"100457-1009817","","Метро «Ховрино»","","55.878232","37.479999","","","0","","","0","",""
"100457-1009957","","Бульвар Веласкеса","","55.592449","37.453262","","","0","","","0","",""
"100457-1009958","","Испанские Кварталы","","55.594372","37.457831","","","0","","","0","",""
"100457-1009959","","МЦД Перерва","","55.663364","37.717415","","","0","","","0","",""
"100457-1009853","","Чечёрский проезд, 126","","55.525299","37.516074","","","0","","","0","",""
"100457-1009854","","Чечёрский проезд, 126","","55.525165","37.516381","","","0","","","0","",""
"100457-1009960","","МЦД Перерва","","55.663571","37.716988","","","0","","","0","",""
"100457-1009961","","Кинотеатр «Комсомолец»","","55.842142","37.569462","","","0","","","0","",""
"100457-1009855","","Метро «Бульвар Адмирала Ушакова»","","55.546467","37.543524","","","0","","","0","",""
"100457-1009962","","Перервинская плотина","","55.673713","37.718768","","","0","","","0","",""
"100457-1009858","","Набережная Академика Туполева","","55.757762","37.669556","","","0","","","0","",""
"100457-1009859","","4-й Сыромятнический переулок","","55.754732","37.671284","","","0","","","0","",""
"100457-1009939","","Микрорайон Десна","","55.534932","37.379518","","","0","","","0","",""
"100457-1009883","","МЦК Новохохловская","","55.725093","37.717328","","","0","","","0","",""
"100457-1009940","","Микрорайон Десна","","55.535587","37.37879","","","0","","","0","",""
"100457-1009942","","По требованию","","55.540246","37.371812","","","0","","","0","",""
"100457-20580","","Болотная площадь","","55.744413","37.613319","","","0","","","0","",""
"100457-1009944","","Пенино-1","","55.544333","37.365723","","","0","","","0","",""
"100457-1009900","","Лётная улица","","55.822781","37.431967","","","0","","","0","",""
"100457-1009943","","Пенино-1","","55.543307","37.367916","","","0","","","0","",""
"100457-1009904","","ЖК «Домашний»","","55.646251","37.702012","","","0","","","0","",""
"100457-1009946","","Марьино Град","","55.55458","37.343338","","","0","","","0","",""
"100457-1009902","","МЦД Курьяново","","55.64856","37.704629","","","0","","","0","",""
